"","Symbol","Last","% Change","Day Range","Low","High","Volume","Bid","Ask","Year Range","Year Low","Year High","Prev. Close","Market Cap","P/E","Beta","% MTD","% YTD"
"","AKAM","95.95","2.4231426131511524","81502487.518465","94.25","96.205","1214391","93.11","98.36","1015839.4412500001","85.9","123.25","93.68","15017372400","26.64","0.6389","-0.2806069424236113","-18.019480519480524"
"","ALB","281.6","5.984192698532187","5625790200.924119","267","281.64","1995655","281.63","283","13946498.970348002","169.93","291.48","265.7","31116924100","119.78","1.3098","15.251115386189685","20.44744834666552"
"","ALGN","289.5","0.7376992135847971","6905442457.40939","285.85","290.87","553784","279.69","305.74","48136102.62008","225.86","737.452","287.38","22446734500","36.79","1.4517","2.8579563654482554","-56.02422471773334"
"","ALK","47.34","2.40103828682674","4811392.8008361","46.43","47.35","1364974","46.76","47.5","115257.54290400002","38.185","63.76","46.23","5860346000","28.52","1.4291","6.789984209339051","-9.136276391554699"
"","ALL","129.44","1.9694343784464996","271528322.45663166","127.49","129.62","1834429","125.35","129.9","1984140.533664","106.11","144.46","126.94","34906342000","38.39","0.8736","10.660853210224852","10.021249468763283"
"","ALLE","106.41","3.48147427793446","121055590.99962781","103.89","106.49","619834","100.43","106.67","1472296.1820974997","93.05","148.695","102.83","9032381500","19.77","1.0029","0.6717123935666924","-19.65418302627605"
"","AMAT","110.39","4.60532549985786","137684803.45208398","106.2","111.3","6644695","110","111.76","1524441.6450760001","82.67","167.06","105.53","91805506900","14.08","1.6062","4.151726740894501","-29.855109303507888"
"","AMCR","12.9","2.13776722090262","26331.136729065","12.685","12.83","5061536","12.81","12.9","1858.4527411800002","10.6636","13.605","12.63","19118409900","20.27","0.9382","-1.08108108108107","6.661115736885925"
"","AMD","100.76","2.6905829596412634","99597177.30568321","99.28","101.4","72316345","98.37","100.95","1187306.4069371999","71.6","164.4599","98.12","159004441200","41.25","1.4302","6.732295966973645","-29.930507296733843"
"","AME","129.31","1.674791633904693","271308134.10005796","127.52","129.37","1043219","116.18","129.47","2032829.738589","106.17","148.07","127.18","29197730000","27.04","1.1052","4.704453441295553","-12.057943416757343"
"","AMGN","248.39","0.016106301590501637","3792793730.7952704","246.29","249.64","3461117","245","252","12751972.002119998","198.64","258.45","248.35","132668570000","21.05","0.6584","0.3717622338061055","10.410276925812333"
"","AMP","289.17","2.064803049555275","6728811176.182722","283.955","289.24","674932","270","294.14","21143554.123671003","219.99","332.37","283.32","30645591100","10.2","1.6641","7.1317427385892085","-4.140422992773319"
"","AMT","277.72","1.3761635334915256","5807134242.786765","274.63","277.93","1110090","274","278","18556806.048000004","220","303.72","273.95","127547558600","45.03","0.8668","2.5440313111546153","-5.05299145299144"
"","AMZN","143.31","1.898464163822533","406196688.68285763","140.12","143.59","47643484","143.31","143.5","2734303.0963792503","101.26","188.10725","140.64","1432784064000","125.86","0.6561","6.372730640978164","-13.896003406971092"
"","ANET","127.08","0.8331349678647904","258837935.25103417","126.42","128.06","1125997","126.78","127.32","1605437.733236","85.18","148.57","126.03","38850511900","38.82","1.0712","8.771328131698542","-11.7495652173913"
"","ANSS","283.2","1.092310987363465","6392723082.932987","281.32","285.05","511660","270","293","26609010.615615994","225.92","413.89","280.14","24369406600","53.75","1.2374","2.0000716871572344","-29.056142800159556"
"","ANTM","482.58","-0.2872078847862558","NaN","","","","481.8","489.5","91411798.825872","357.51","529.84","483.97","114506877100","19.13","1.0357","","4.107520386590147"
"","AON","301.48","1.614479760018872","8056679567.848613","298.255","302","702616","286.24","306.01","25384283.105784006","246.21","341.98","296.69","62579634900","42.57","0.8005","3.5871357888950017","0.3060952887942614"
"","AOS","63.87","2.3229734059596163","15937482.59877342","62.57","63.89","714214","62.49","64.58","287575.8035829","51.91","86.737","62.42","9640644200","19.19","0.7717","0.9483167377904111","-25.602795573675007"
"","APA","34.75","-0.2583237657864612","1442347.5008800004","34","35.09","6904688","32","35.24","28022.427425000005","15.545","51.95","34.84","11784002900","3.92","2.1054","-6.645143933279519","29.044254369654144"
"","APD","270.88","2.292209508704346","5188895426.513111","266.26","271.68","893935","270","272","18532573.104767997","216.24","316.39","264.81","58727708100","26.41","0.9539","9.124602183458897","-10.97088016827713"
"","APH","79.48","2.0413403517781425","38545779.95165964","78.29","79.53","1333440","76.69","79.64","433539.97986684","61.67","88.4499","77.89","46331152900","27.19","0.9863","3.0468040969791277","-9.124171049622676"
"","APTV","111.43","2.5775568443339836","147943811.98137024","109.36","111.76","1827016","110.82","112.5","1695223.969362","84.14","180.81","108.63","29431451800","260.88","1.5595","6.23510344170084","-32.446195816914205"
"","ARE","170.09","1.8685991495478227","811378780.3792841","167.85","170.21","655168","168.52","170.29","4974026.915","130","224.95","166.97","27244161000","90.27","0.9409","2.5998311014597597","-23.71277359167564"
"","ATO","116.95","1.4574477314132084","182472827.680845","115.69","117","1578112","110","118.46","1233768.5860499998","85.8","122.955","115.27","16024259000","20.9","0.663","-3.6576324244171676","11.62546530495372"
"","ATVI","80.64","0.1614706247671016","42480571.45388094","80.69","80.94","5822970","80.5","81","395964.71640000003","56.4","86.9","80.51","62983536600","33.61","0.5787","1.050656660412752","21.433939576131067"
"","AVB","218.16","1.432025292914263","2214792809.9605694","216.14","218.385","343653","215","218.55","10361905.705799999","183.35","259.05","215.08","30072055400","36.95","0.9232","1.9725156585958636","-13.630785066708896"
"","AVGO","558.23","2.3467722714188843","92803202161.17506","545.84","558.4","1840020","548","559.2","175045544.07436803","462.66","677.76","545.43","220254451700","27.04","1.3251","4.248524688130284","-16.10736237808268"
"","AVY","202.47","1.86657275105655","1623461879.6780703","199.07","202.65","296844","194.41","202.91","7037324.460936001","151.62","229.24","198.76","16150522100","21.73","1.0082","6.3057859918093095","-6.510597035600496"
"","AWK","159.59","2.8286082474226815","606387361.228192","155.8","158.39","484590","153.34","159.68","3887031.9785249997","129.45","189.65","155.2","28213187200","21.74","0.7382","1.8592382913021233","-16.16541353383458"
"","AXP","165.54","1.564513160316583","732553642.0237241","163.29","165.97","1942595","165.53","165.8","4438483.05264","134.12","199.55","162.99","122201426500","16.72","1.3399","7.67432800934944","1.3691931540342317"
"","AZO","2263","1.4420641644589782","25342478642666.94","2226","2258.95","129362","2262","2266","7700601231.6156","1503.3","2267.4","2230.83","43473522700","19.79","0.8326","5.698071011841543","7.765253602621658"
"","BA","169.97","1.2449368596616717","813482938.3723832","167.57","170.11","4345220","169.85","170","4633038.86227","113.02","241.15","167.88","99688990700","","1.6488","6.703910614525155","-15.562288893304189"
"","BAC","36.32","1.1417432470064215","1689726.8113110003","35.7","36.31","31821682","36.28","36.33","53969.52230999999","29.67","50.11","35.91","288545468400","11.22","1.261","7.364685004436544","-18.40863115306811"
"","BALL","59.47","2.9248875043267564","11962844.3803923","58.15","59.87","2314362","59.08","59.5","319495.991671","54.77","98.09","57.78","18477408400","25.52","0.7693","-19.000272405339146",""
"","BAX","60.46","0.8170752042688134","13209490.026922021","60.01","60.71","2113986","60.11","60.73","311783.33238000004","57.49","89.7","59.97","30201551700","30.07","0.6324","3.068530514831247","-29.566635601118364"
"","BBWI","39.99","1.911314984709489","2454083.7656400003","39","40.1","3033509","38.7","40","84438.88500000001","25.75","82","39.24","8958492000","8.56","1.5283","12.521102982554865","-42.69952715288724"
"","BBY","80.26","-0.19895548371051675","41734500.80562399","79.6","81.19","2131555","80.3","81.4","732918.2793900002","64.29","141.97","80.42","18108010600","8.92","1.1322","4.299259644109621","-20.964566929133856"
"","BDX","263.69","1.6538164996145133","4693984931.164469","259.98","263.96","830905","260.04","265","16797983.486805614","229.73612","277.29","259.4","73945861000","43.94","0.4966","7.932544717776602","4.855256879274705"
"","BEN","29.02","1.2207882804325054","692942.0189226401","28.66","29.06","1657539","28","29.17","25111.339410780005","22.6107","38.27","28.67","14287895200","8.5","1.1387","5.719489981785064","-13.347267841146614"
"","BF.B","76.14","0.9814323607427067","32954070.291667204","75.36","76.17","668765","75.13","77.13","351510.17013","60.23","76.65","75.4","36123989200","43.24","0.7448","2.5869037995149613","4.501784243755158"
"","BIIB","220.99","1.2693611951241968","2341660405.022077","218.58","222.15","768989","211.77","224.79","14553101.448424","187.16","351.86","218.22","31666558900","15.58","0.7683","2.757370036268947","-7.890130043347776"
"","BIO","548.74","-0.06920163170163196","91158963082.76393","542.33","557.83","79714","530","570","211383069.51278","462.61","832.7","549.12","16436479500.000002","","0.8059","-2.5778503710542133","-27.374035496380223"
"","BK","44.81","0.9916610322289854","3964416.2126279995","44.3","44.92","2648330","44.68","44.81","115437.06485999998","39.78","64.63","44.37","35855530100","11.29","1.0519","3.313391624482276","-22.692837465564743"
"","BKNG","2120.98","2.772609218126121","19252137896102.004","2071.74","2122.99","329721","2025","2167","9615165605.19511","1669.34","2715.66","2063.76","83836741600","55.02","1.1401","9.572297217013048","-11.597470855232716"
"","BKR","26.01","2.887658227848111","430019.8429953601","25.11","26.045","6855623","25.85","26.37","20528.007552","19.84","39.78","25.28","25577040000","","1.2203","1.245620864149477","8.104738154613479"
"","BLK","754.24","3.511974198860912","300478273323.19385","728.9","752.5","766238","748","754.24","421138248.13967997","575.6","973.16","728.65","110392661000","19.21","1.1951","12.35093696763203","-17.883044257066704"
"","BMY","75.68","1.6384636046199441","31772193.76654487","74.57","75.72","6163935","75","75.69","324119.71488600003","53.22","80.59","74.46","158991459600","24.74","0.5269","2.426131743019777","21.202886928628708"
"","BR","183.22","7.947917280386507","975567477.4921278","171.07","183.38","977321","181.8","184.12","4497494.0112000005","132.4","185.4","169.73","19896938700","36.43","0.8137","14.12021177203362","0.21879444262116188"
"","BRK.B","301.69","1.7607177792019257","8010733784.079119","297.02","301.68","3233809","301.69","301.73","28791550.118400004","263.68","362.1","296.47","654104725700","59.14","0.8266","0.3160345974717149","0.8528428093645513"
"","BRO","67.55","1.5178839795611632","20306124.1714212","66.84","67.59","1393144","53","72","264481.21699999995","52.91","74","66.54","18794489200","30.78","0.9289","3.7634408602150504","-3.88446215139443"
"","BSX","42.33","1.3649425287356243","3125493.88074","41.75","42.35","4019743","42.04","42.36","70326.00798299999","34.98","47.495","41.76","59784033600","72.46","0.9911","3.118148599269177","-0.3531073446327637"
"","BWA","40.02","0.6792452830188811","2522969.0541000003","39.6","40.05","1282920","39.45","40.5","64708.54610400001","32.28","50.09","39.75","9414032200","14.82","1.0247","4.056162246489858","-11.204792544930097"
"","BXP","90.11","0.4346856888096218","65272118.4590364","89.26","90.45","866869","89.5","90.9","1017856.8426060001","84.86","133.11","89.72","15546143300","21.37","1.0727","-1.1518209741114505","-21.765931585344678"
"","C","54.42","0.7777777777777883","8567214.877440002","53.63","54.4","15493648","54.38","54.42","176319.623808","43.44","74.64","54","104863680000","6.9","1.4061","4.778420038535658","-9.951978804437822"
"","CAG","34.39","-0.14518002322879697","1397842.4172736802","34.14","34.57","2508271","34.05","34.4","38218.232897999995","30.06","36.97","34.44","16534368500","18.7","0.3872","0.5261619409529406","0.7027818448023471"
"","CAH","69.25","4.924242424242431","20943897.40871999","65.82","69.55","5356994","69.2","69.25","210404.91640000002","45.85","66.2","66","17980182000","","0.8245","16.386836803223616","34.62808312293648"
"","CARR","43.97","2.1370499419280042","3589728.52628565","43.11","43.99","3566681","43.98","44","88350.09939599999","34.12","58.89","43.05","36230148200","13.74","","8.487540093757694","-18.934365781710916"
"","CAT","196.6","1.3402061855670055","1458227982.441888","193.86","196.98","1864797","196.5","196.7","7824061.67088","167.08","237.9","194","103474556000","15.52","0.9309","-0.7112232030264787","-4.78862339169972"
"","CB","197.55","1.929724988390702","1471412862.7709365","194.41","197.68","941980","195","198.1","7439073.301530001","171.96","218.985","193.81","80943002200","11.69","0.9557","4.723282442748111","2.1933681651233883"
"","CBOE","119.64","1.821276595744692","196941696.78096002","116.98","119.76","562103","116.21","120.03","1726510.0056186554","103.8197","138.9994","117.5","12462285000","60.2","0.7275","-3.0312854595558436","-8.251533742331297"
"","CBRE","87.39","2.390158172232004","55916715.463091984","85.58","87.6","1285418","81.3","88.88","656515.6272","67.68","111","85.35","27897586400","14.32","1.2664","2.0672740014015423","-19.463643903787677"
"","CCI","181.68","1.5652951699463458","1060243498.4220518","179.43","181.82","1090999","179.42","183","5860315.59084","153.7","209.865","178.88","77455040000","50.22","0.8189","0.564596479574897","-12.96349525725783"
"","CCL","10.66","1.1385199240986799","13052.748647999999","10.55","10.95","39632884","10.59","10.66","2378.32848","8.1","27.39","10.54","13101747000","","2.0728","18.322295805739518","-46.71968190854871"
"","CDAY","69.31","3.4477611940298525","22019616.830088","67.72","70.02","1392926","65","72.31","390623.889381","43.23","130.37","67","10227215000","","1.3564","26.54737995252876","-33.64924372965727"
"","CDNS","188.58","1.1966729272873788","1245508581.19688","187","189.28","1805929","188.22","189.68","4814617.487415","132.315","192.7","186.35","51035674500","66.62","1.2211","1.4778589853826407","1.3308290850550186"
"","CDW","180.27","2.595185248420684","1012185607.905871","176.87","180.67","571496","173.11","184","5724377.540752501","152.15","208.705","175.71","23741232400","23.91","1.1978","-0.6941001487357434","-11.968942279519478"
"","CE","117.62","1.2046119428669844","187391969.24987447","116.43","117.74","778422","116.95","117.89","2174395.0682","104.74","176.5","116.22","12592320800","6.48","1.1932","0.09360905454853796","-30.013090562894206"
"","CEG","81.21","3.019155143980723","41797532.536740005","79.65","81.68","2170897","73.85","85","247945.82","38","80.06","78.83","25765191400","","0.5744","23.298033282904697",""
"","CF","104.22","1.8071700693562454","113540451.80040576","101.41","104.64","1172303","103","104.22","512236.813257","43.185","113.485","102.37","21354586700","8.39","1.048","9.456487590323604","47.66883300367335"
"","CFG","39.91","1.3458608430675367","2456278.2979191598","39.14","39.93","3327071","39.75","39.88","78130.41015","34.345","57","39.38","19510663500","9.97","1.4996","5.109296813273634","-15.534391534391546"
"","CHD","87.7","0.12558511245575055","58810658.808000006","87","88","2519177","86.7","90.6","741783.71904","80.34","105.28","87.59","21276399300","27.84","0.4166","-0.306922814595878","-14.439024390243905"
"","CHRW","117.28","-0.12773567231543215","189860458.5879021","116.71","118.12","1124042","116","120","1197351.62976","85.8","118.99","117.43","14547580700","14.14","0.5675","5.943992773261075","8.965901700269452"
"","CHTR","478.27","2.5912181728479755","50106410787.13819","469.21","479.1","821531","455.11","485.33","160957450.8766","407.75","825.62","466.19","74895754400","14.98","0.704","10.650312427678777","-26.665337362148566"
"","CI","290.92","1.720279720279727","6935199167.41652","286.15","291.29","4395459","289.3","291","16155851.261704002","191.74","289.63","286","90740078000","17.06","1.0564","5.65078442765834","26.690763401994523"
"","CINF","104.33","1.5278318411833247","115295570.72188398","103","104.41","685908","101.83","105.22","1395745.540266","93.41","143.22","102.76","16359289200","31.91","1.068","7.181014998972657","-8.42622663038709"
"","CL","80.29","0.9937106918239014","40901339.828999996","79.6","80.5","3277541","79.59","80.55","496275.86218000005","72.2","85.61","79.5","66616388999.99999","34.49","0.5531","1.9685039370078927","-5.917506444808995"
"","CLX","146.37","1.2170665929050584","447668665.6375293","144.195","146.675","945662","146.1","146.36","3295757.3693415","120.5","186.8599","144.61","17798598800","38.85","0.2384","3.1937394247038897","-16.052993805918792"
"","CMA","85.35","1.2335428774759682","52106956.80840127","84.16","85.73","873742","78","85.89","614819.2919670001","70.305","102.09","84.31","11029434200","12.28","1.3989","10.145300244310151","-1.5402298850574758"
"","CMCSA","40.16","1.9289340101522834","2490017.1176","39.43","40.07","16930424","39.25","40.17","90405.4896","36.5718","61.8","39.4","173881262000","12.86","0.8301","6.609808102345416","-20.524538048877407"
"","CME","202.6","1.7988141895286747","1623347733.9628162","198.59","202.73","1445678","202.55","205","9671492.41476","185.79","256.94","199.02","71534952700","24.68","0.9002","1.5640665730900283","-11.31926814321983"
"","CMG","1663.08","1.961265166238535","7332094229212.841","1623.75","1664.01","202966","1658.77","1664","3897996215.3026204","1196.28","1958.545","1631.09","45286561400","61.06","0.9727","6.359719221081428","-4.836264836264837"
"","CMI","227.76","1.7330712881900912","2595762528.927235","223.45","227.82","719668","225.5","228.89","10386852.90552","184.275","247.48","223.88","31565289000","15.67","0.8778","2.914463874203599","4.41001191895114"
"","CMS","69.67","1.4414676761793643","23198010.88414464","69.18","70.08","1710902","69.44","70.08","300674.65179200005","58.51","73.76","68.68","19930661300","15.15","0.6024","1.3676705950822043","7.102229054573406"
"","CNC","96.64","2.797574726092966","82896036.60011521","94.26","96.8","2680868","96.64","96.81","553123.524096","59.67","95.92","94.01","54532474700","29.91","0.9286","3.9475099494460597","17.281553398058236"
"","CNP","32.5","1.8489501723597535","1081919.78232","32.08","32.52","2986584","32","32.5","26088.5625","24.325","33","31.91","20085717600","13.06","1.0753","2.556011360050481","16.445718380508765"
"","COF","116","0.6332957404355133","177827836.07581523","114.57","116.34","1594632","115.2","116","2029523.23782","98.54","177.95","115.27","44242700900","5.06","1.5094","5.381043430756627","-20.228823488868986"
"","COO","334.07","1.6213420940560885","12059760975.47155","328.63","334.15","147404","332","595","43985057.924312994","284.01","463.59","328.74","16218881000","17.25","0.9051","2.162079510703352","-20.25827087411085"
"","COP","102.75","2.3814268632921465","105906152.262846","99.73","102.98","6684131","102.7","102.94","655437.4001999999","51.41","124.08","100.36","129810642000","8.26","1.2952","5.460330493687771","42.352452202826264"
"","COST","536.32","0.7741450582487763","82194103970.99152","533.94","538.43","1918238","535","541","136027084.580415","416.43","608.05","532.2","235744908600","41.92","0.6702","-0.7555883983003775","-5.37079443367976"
"","CPB","49.94","-0.2994609702535511","6235982.142076501","49.61","50.25","1103825","49.57","50","103132.811936","39.76","51.94","50.09","15055851800","16","0.3136","1.1955420466058797","14.910262310170275"
"","CPRT","129.97","1.1360983581044426","279463584.36859584","128.45","130.26","997059","124","131.23","2140355.733744","102.21","161.12","128.51","30543357200","28.61","1.0542","1.4597970335675337","-14.279118849755967"
"","CPT","145.72","1.646205357142838","439026949.9047936","144.2","145.74","458540","139.07","146.47","3289907.747788","125.17","180.37","143.36","15271854100","18.83","0.8859","3.2742735648476184","-18.44638459816432"
"","CRL","233.01","2.887799708570671","2775899782.4269733","225.71","233.06","375067","210.28","234","21808083.423176996","203.37","460.21","226.47","11505785700","26.28","1.1856","-6.996886724674701","-38.15754551727798"
"","CRM","190","1.7511915600064265","1249657063.7402565","185.5","189.99","3846152","189.9","190","9149082.969124999","154.55","311.75","186.73","185796350000","181.24","1.1775","3.1898706662319087","-25.27840081847873"
"","CSCO","46.75","1.85185185185186","4590502.016102999","46.045","46.6","16967587","46","46.86","122309.93955699999","40.82","64.285","45.9","190070064000","16.11","0.9334","2.733083535375802","-26.44784598390405"
"","CSX","34.49","0.9660421545667708","1376043.6013128","34.11","34.38","11880994","34.1","34.52","36616.9230975","27.595","38.63","34.16","73144758400","19.09","1.0634","6.2480668110114435","-8.643617021276595"
"","CTAS","434.24","1.0706638115631772","34877102656.30044","429.81","434.94","257049","401.85","442.75","68901190.127616","343.86","461.44","429.64","43474412300","36.88","1.1746","2.0564525605772266","-2.0150280930568365"
"","CTLT","109.97","0.027287611424409164","145857801.48188883","109.07","110.61","857067","108","113.54","1354339.6698719999","86.34","142.64","109.94","19702677200","39.78","1.1198","-2.7674624226348365","-14.106068890103884"
"","CTRA","28.47","-2.9321513808387323","681731.5405824","28.16","28.8","6268496","28.47","28.67","14958.628439999999","14.28","36.55","29.33","23231358200","8.06","0.6821","-6.3092513893429185","50.84210526315789"
"","CTSH","69.78","1.5424912689173453","23151329.929791357","69.01","69.96","3390149","68","70.9","412594.1847504","63.26","93.468","68.72","35582185200","15.95","1.1186","2.6780459093584508","-21.348061316501354"
"","CTVA","61.76","2.4722083955533325","13846079.83284288","60.22","61.77","2743959","61","62","161026.94681599998","40.72","64.03","60.27","43617399000","25.52","0.9787","7.315377932232847","30.62605752961083"
"","CTXS","102.56","0.1073694485114629","111168606.6961125","102.5","102.89","805491","101.3","102.95","923751.5645","78.07","115","102.45","12999368200","39.45","0.4828","1.4594221477171931","8.774711914578702"
"","CVS","106.4","2.0623501199040772","124457760.21262501","105","106.87","5064373","106","106.4","967938.87975","81.78","111.25","104.25","136862527500","16.93","0.7425","11.193561872909697","3.131058549825516"
"","CVX","159.9","0.17541661445934498","641194746.9706205","157.15","159.91","7244736","159.64","159.9","2707485.5904","92.86","182.4","159.62","313622972200","10.66","1.1305","-2.3995603858835035","36.216446527481885"
"","CZR","51.9","5.209811473748216","6473515.451017999","49.7","51.4","2270568","51.04","51.9","216027.85347","35.1","119.81","49.33","10574674800","","2.2517","12.431604289778942","-45.07644606008767"
"","D","82.83","1.3087084148727834","46114723.61141185","82.18","82.86","1845286","81.86","83","517476.16753800004","70.37","88.78","81.76","67913944000","30.8","0.7135","1.036838253232486","5.435336048879824"
"","DAL","34.5","1.590106007067127","1381536.81216","34.08","34.6","7141979","34.5","34.52","44848.469925000005","28.095","46.27","33.96","21775084100","36.86","1.3514","8.490566037735835","-11.719549641760485"
"","DD","62.7","0.8362817626246466","15279783.973066801","62.19","63.02","2186848","62.7","63","280672.49958","52.565","85.16","62.18","31620208900","17.06","1.12","2.4007839294463595","-22.381777667739534"
"","DE","368.16","1.724137931034475","17790283739.033394","361.95","368.88","1256761","368","368.36","46680830.853696","283.81","446.76","361.92","110615781100","18.88","1.0244","7.278978961477955","7.369710402753071"
"","DFS","109.6","1.004515712837506","141017321.717208","108.09","109.7","1004708","108.73","109.74","1309000.3444799997","88.02","135.69","108.51","29641785200","7.11","1.7407","8.514851485148501","-5.157493942540681"
"","DG","253.19","0.5240798824790449","4053582188.30141","250.59","253.55","1026087","253","253.47","12170828.481124999","183.25","262.205","251.87","57173734400","25.83","0.5498","1.960310751519545","7.407878556587377"
"","DGX","140.55","-0.014227786867737624","387950311.2279776","139.47","140.79","648449","138.9","142.39","3067851.30204","125.33","174.16","140.57","16391305400.000002","11.7","0.6387","2.914256425276429","-18.7619212762268"
"","DHI","79.74","1.3214739517153573","39161807.233584","78.22","79.8","1815727","79.06","79.75","521700.63450000004","59.25","110.45","78.7","27346754700","5.06","1.223","2.165833653722915","-26.491470723835874"
"","DHR","297.75","2.256336286832883","7524136990.39172","291.18","298.045","2361948","295.2","297.75","23239126.575719997","233.708","333.96","291.18","211817435100","34.29","0.7943","2.154595670223336","-9.501230965624142"
"","DIS","121.41","3.160846291103736","207105533.01221737","119.03","121.61","21964785","121.4","121.44","2057612.9002118902","90.23","187.5799","117.69","214369981200","81.14","1.0302","14.580584354382653","-21.512040803150622"
"","DISH","20.11","3.820340733092409","154235.61553868","19.66","20.14","2392567","19","20.48","15091.588302244998","16.205","46.3099","19.37","10272007900","5.97","1.411","15.77432354634427","-38.00863131935881"
"","DLR","131.42","1.8522824149422412","289544248.7047797","129.74","131.61","1200548","130.2","132.64","2801817.56085","119.625","178.22","129.03","36731228200","28.31","0.7394","-0.7776519441298646","-25.69683948662861"
"","DLTR","166.76","0.8405393965047914","754423883.994455","164.02","166.79","968212","162.63","169.5","2489731.702744","84.26","177.19","165.37","37134825700","25.18","0.7679","0.8466376390904529","18.67349843438655"
"","DOV","139.48","2.198124267291912","363545854.91388726","136.91","139.49","755702","134.16","142.28","2994731.7993559996","116.66","184.045","136.48","19591567500","17.35","1.1042","4.338719329742657","-23.193832599118945"
"","DOW","55.85","1.0676800579080714","9569566.230378838","55.31","55.98","4389097","55.85","55.94","194003.395446","48.27","71.86","55.26","39685963700","6.19","1.2225","5.111821086261981","-1.3928067700987312"
"","DPZ","412.24","2.006779996535779","28132080753.66314","406.21","415.7","509987","403","416","75141089.49132","321.15","567.57","404.13","14503538700","31.55","0.4928","5.13376348473642","-26.950543121932203"
